TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR),Age
T502535,C100726,1966-07-04,Male,Kolkata,213622.83,2024-12-06,230909,6148.9,58.0
T500740,C100796,1985-01-13,Female,Chennai,22196.84,2024-06-01,42021,1284.31,39.5
T501682,C100135,1976-12-12,Female,Mumbai,52253.95,2024-05-11,183515,323.89,47.5
T501409,C100163,1970-08-04,Male,Kolkata,3126.03,2024-07-11,125144,320.57,53.9
T505100,C100509,1977-09-18,Male,Bangalore,26256.74,2024-03-20,31024,789.35,46.8
T502467,C100636,1969-07-07,Female,Surat,52253.95,2024-06-25,43254,464.98,55.0
T500445,C100541,,Male,Ahmedabad,186265.55,2024-06-23,41015,5622.67,40.7
T502520,C100335,,Male,Bengaluru,47693.35,2024-03-14,80307,4501.04,40.7
T501195,C100702,,Female,Mumbai,2914.57,2024-10-08,92028,1526.37,40.7
T502820,C100377,1965-07-07,Male,Bangalore,31307.17,2024-03-09,135541,328.91,59.0
T504755,C100729,,Male,Lucknow,264299.97,2024-09-14,200611,4743.74,40.7
T500934,C100002,1990-10-14,Female,Bangalore,4740.87,2024-07-01,172415,601.47,33.7
T501042,C100717,1983-04-25,Female,Mumbai,52253.95,2024-06-26,75858,3511.59,41.2
T501721,C100546,1993-05-20,Male,Delhi,76684.14,2024-11-09,101023,3247.57,31.1
T503190,C100764,1966-06-14,Male,Jaipur,62112.48,2024-12-28,140201,18457.53,58.0
T503854,C100230,,Female,Chennai,17144.19,2024-12-23,120349,1479.43,40.7
T502226,C100746,1972-05-02,Male,Mumbai,66601.54,2024-05-04,224518,612.29,52.2
T500334,C100155,,Male,Chennai,47693.35,2024-11-17,162029,1203.14,40.7
T505852,C100731,1992-02-17,Male,Hyderabad,47693.35,2024-10-27,123953,3470.49,32.4
T505086,C100279,1957-08-17,Male,Jaipur,45765.21,2024-12-09,83012,1730.05,66.9
T505263,C100042,1968-12-11,Male,Mumbai,41014.43,2024-05-25,134957,600.88,55.6
T500463,C100443,2004-05-13,Female,Nagpur,102909.31,2024-06-23,235826,197.94,20.1
T502113,C100311,1973-01-02,Female,Hyderabad,63960.0,2024-10-21,12141,273.22,51.5
T500452,C100763,1994-09-10,Male,Mumbai,47693.35,2024-05-28,210606,4168.15,29.8
T501739,C100153,1982-08-04,Female,Lucknow,379373.89,2024-05-31,161955,12611.9,41.9
T504977,C100675,1962-04-07,Unknown,Bangalore,91272.97,2024-11-13,72608,2850.66,62.2
T501436,C100356,,Male,Mumbai,62027.26,2024-03-19,81812,4380.39,40.7
T504422,C100161,1999-05-26,Male,Lucknow,68566.76,2024-06-25,163338,2057.3999999999996,25.1
T503174,C100534,1980-09-21,Female,Mumbai,52253.95,2024-12-30,110843,5392.91,43.8
T500521,C100700,1988-03-06,Male,Pune,47693.35,2024-08-23,34621,7369.02,36.3
T501283,C100210,1956-12-04,Female,Delhi,112806.44,2024-10-19,72700,96.22,67.6
T504877,C100716,,Female,Unknown,240805.5,2024-03-07,140758,16725.16,40.7
