CustomerID,Recency,Frequency,Monetary,AvgTransactionAmount,AccountBalance,Age,Gender,Gender_Male,Cluster
C100000,68,5,5227.95,1045.59,17012.07,40.7,Male,1,1
C100001,38,22,242430.52,11019.56909090909,43869.35,48.3,Unknown,0,0
C100002,113,5,2978.61,595.722,4740.87,33.7,Female,0,1
C100003,147,4,6388.160000000001,1597.0400000000002,48217.77,63.3,Unknown,0,1
C100004,12,3,1983.0,661.0,13136.92,42.0,Male,1,1
C100005,68,10,23985.03,2398.503,44083.6,57.6,Unknown,0,1
C100006,1,10,25891.53,2589.153,40563.16,34.4,Female,0,1
C100007,2,2,1123.49,561.745,14715.92,20.7,Male,1,1
C100009,231,2,3917.06,1958.53,52253.95,35.5,Female,0,1
C100010,17,15,138489.32,9232.621333333334,239001.2,34.8,Female,0,0
C100011,112,4,13077.72,3269.43,15559.6,58.3,Male,1,1
C100012,69,10,13720.25,1372.025,50102.02,30.7,Female,0,1
C100013,136,4,3779.18,944.795,11833.88,29.3,Unknown,0,1
C100014,3,11,52186.15,4744.195454545455,72097.18,29.4,Male,1,1
C100015,64,10,19778.62,1977.862,47693.35,30.2,Male,1,1
C100016,42,7,9889.11,1412.73,21454.12,68.4,Female,0,1
C100017,358,1,641.07,641.07,12706.37,63.6,Male,1,1
C100018,339,1,370.47,370.47,29149.99,41.0,Male,1,1
C100019,6,12,67445.45999999999,5620.454999999999,102437.46,40.7,Unknown,0,1
C100020,45,6,7770.37,1295.0616666666667,3015.98,42.2,Male,1,1
C100021,36,9,27897.1,3099.677777777777,51078.01,28.4,Male,1,1
C100022,64,7,13061.22,1865.8885714285716,52253.95,40.7,Female,0,1
C100023,11,7,5675.24,810.7485714285714,5699.11,49.1,Male,1,1
C100024,215,1,3143.92,3143.92,5504.61,29.4,Male,1,1
C100025,102,2,495.83,247.915,14205.21,34.3,Male,1,1
C100026,14,12,35774.76,2981.23,42425.02,44.0,Female,0,1
C100027,43,9,292096.5699999998,32455.17444444442,11262.83,34.9,Unknown,0,0
C100028,14,19,143405.1,7547.636842105264,51367.71,51.1,Unknown,0,0
C100029,217,2,1635.31,817.655,12477.43,47.2,Male,1,1
