TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR)
T502535,C100726,1966-04-07,m,KOLKATA,"Rs. 213,622.83",2024-06-12,230909,6148.9
T500740,C100796,13-01-85,F,CHENNAI,22196.84,01-Jun-2024,042021,1284.31
T501682,C100135,1976-12-12,Female,mumbai ,,11/05/2024,183515,323.89
T501409,C100163,04/08/1970,m,Kolkata,"Rs. 3,126.03",11-Jul-2024,125144,320.57
T505100,C100509,1977-09-18,m,BANGALORE,26256.74,20-Mar-2024,031024,789.35
T502467,C100636,07/07/1969,female,  Surat,"Rs. 52,253.95",2024-06-25,043254,464.98
T500445,C100541,13-01-74,male,Ahmedabad,"186,265.55",23-Jun-2024,041015,5622.67
T502520,C100335,1/1/1800,M,Bengaluru,,2024-03-14,080307,4501.04
T501195,C100702,0000-00-00,Female,Mumbai,2914.57,2024-08-10,092028,1526.37
T502820,C100377,07/07/1965,m,Bangalore,31307.17,09/03/2024,135541,-328.91
T504755,C100729,18-06-74,M,LUCKNOW,"264,299.97",2024-09-14,200611,4743.74
T500934,C100002,14/10/1990,female,BANGALORE,4740.87,01-Jul-2024,172415,601.47
T501042,C100717,1983-04-25,F,mumbai ,,26/06/2024,075858,3511.59
T501721,C100546,20/05/1993,male,DELHI,"Rs. 76,684.14",2024-09-11,101023,3247.57
T503190,C100764,1966-06-14,M,Jaipur,62112.48,28-Dec-2024,140201,18457.53
T503854,C100230,2035-01-01,Female,Chennai,"Rs. 17,144.19",23/12/2024,120349,1479.43
T502226,C100746,02/05/1972,M,MUMBAI,66601.54,2024-04-05,224518,612.29
T500334,C100155,2035-01-01,m,Chennai,,2024-11-17,162029,1203.14
T505852,C100731,1992-02-17,M,HYDERABAD,,2024-10-27,123953,3470.49
T505086,C100279,1957-08-17,Male,Jaipur,"45,765.21",09-Dec-2024,083012,1730.05
T505263,C100042,1968-11-12,Male,mumbai ,41014.43,25/05/2024,134957,600.88
T500463,C100443,13/05/2004,Female,NAGPUR,102909.31,23/06/2024,235826,INR 197.94
T502113,C100311,02/01/1973,F,HYDERABAD,63960.0,21/10/2024,012141,273.22
T500452,C100763,10/09/1994,m,MUMBAI,,28/05/2024,210606,"INR 4,168.15"
T501739,C100153,04-08-82,f,LUCKNOW,"379,373.89",2024-05-31,161955,12611.9
T504977,C100675,1962-07-04,,Bangalore,91272.97,13/11/2024,072608,2850.66
T501436,C100356,23-02-61,Male,MUMBAI,"Rs. 62,027.26",19-Mar-2024,081812,"INR 4,380.39"
T504422,C100161,1999-05-26,Male,LUCKNOW,68566.76,2024-06-25,163338,
T503174,C100534,21/09/1980,Female,MUMBAI,,2024-12-30,110843,5392.91
T500521,C100700,06-03-88,Male,Pune,,23-Aug-2024,034621,7369.02
T501283,C100210,1956-04-12,female,Delhi,"112,806.44",19-Oct-2024,072700,-96.22
T504877,C100716,11-02-72,F,,"Rs. 240,805.50",07/03/2024,140758,16725.16
T502956,C100753,05/12/1958,Male,Ahmedabad,,18/03/2024,100241,4522.05
T504492,C100689,03/09/2001,Female,Mumbai,5503.87,01/11/2024,222254,900.33
T502755,C100148,1980-12-03,f,Chennai,,22-Feb-2024,014718,9299.1
T500756,C100010,1989-06-09,f,Kolkata,"Rs. 239,001.20",19/03/2024,052947,443.32
T504021,C100258,26-05-00,Male,,"Rs. 16,944.13",01-Sep-2024,054801,4749.57
T505627,C100376,1973-09-05,,Delhi,,30-Oct-2024,200355,"INR 2,875.03"
T500554,C100711,1956-06-23,male,Hyderabad,"10,669.16",09/02/2024,122217,2003.58
T504113,C100499,19-11-63,male,Hyderabad,"29,516.20",02/12/2024,135551,4970.09
T501787,C100715,1966-01-07,Male,AHMEDABAD,5484.47,12-Feb-2024,201839,INR 907.67
T504353,C100190,06/11/1979,male,Jaipur,"Rs. 39,923.71",12-Aug-2024,151956,397.39
T504959,C100434,20-02-74,,HYDERABAD,17342.63,07-Jun-2024,114214,657.59
T500246,C100078,19/07/1963,female,Chennai,51575.85,09-Feb-2024,123301,6010.07
T501406,C100466,08-03-65,M,Mumbai,11590.04,21-Dec-2024,220144,2830.65
T502530,C100074,04-05-60,Female,Hyderabad,"Rs. 138,675.48",08/11/2024,145138,3662.51
T501341,C100616,12-12-98,M,LUCKNOW,68502.33,26-Oct-2024,085129,2228.88
T505321,C100599,1960-07-23,m,  Surat,"8,719.83",23/07/2024,190358,60457.00000000001
T501441,C100715,1966-01-07,Male,AHMEDABAD,5484.47,14/05/2024,032843,830.65
T503178,C100597,1972-02-09,female,Pune,30467.88,2024-02-29,114300,329.94
T505356,C100318,19/04/1976,,JAIPUR,"171,947.48",29/02/2024,043343,
T502271,C100404,04-05-64,m,Kolkata,"Rs. 17,067.98",13-Dec-2024,155542,1026.73
T505659,C100566,1975-06-21,female,Kolkata,"12,023.59",2024-03-12,233706,692.12
T503048,C100246,11/12/1992,Male,Delhi,459949.04,2024-01-23,195217,9654.85
T501790,C100368,1991-10-16,F,Jaipur,"144,315.15",07/10/2024,071056,468.08
T500407,C100743,1968-05-24,Male,,121700.99,10/02/2024,152232,6906.92
T505513,C100600,1981-05-01,f,Jaipur,"67,373.79",2024-02-03,121756,4396.75
T501989,C100573,1976-01-19,male,Hyderabad,41943.84,25/10/2024,103637,2884.93
T502350,C100536,07-01-64,m,JAIPUR,"17,092.33",2024-03-22,011122,
T503276,C100231,13-01-91,female,DELHI,66484.0,24-Jun-2024,115202,2758.51
T504503,C100790,03/02/1994,female,Pune,"108,574.79",27/04/2024,072645,362.02
T500965,C100346,22/08/1993,M,PUNE,"134,207.78",21/02/2024,005435,2514.21
T505174,C100421,1985-01-17,Male,Chennai,"123,501.29",2024-04-05,231858,8897.87
T500008,C100470,05-02-97,F,NAGPUR,155474.78,19-Sep-2024,093722,2916.2
T504655,C100558,1958-07-13,Female,Hyderabad,43904.78,18/05/2024,032813,3656.46
T501464,C100684,09-11-67,,AHMEDABAD,"27,777.54",09/02/2024,195559,INR 372.64
T500187,C100450,1992-01-17,F,DELHI,"111,417.27",17/01/2024,183747,"INR 4,153.05"
T500962,C100003,1961-03-26,,Kolkata,"Rs. 48,217.77",28/04/2024,100123,"INR 1,187.89"
T503253,C100054,01-04-73,f,AHMEDABAD,"Rs. 2,705.17",2024-02-23,150117,582.58
T504689,C100434,20-02-74,,HYDERABAD,17342.63,19/12/2024,044349,173.91
T504460,C100133,04-02-80,female,Hyderabad,,06/03/2024,065856,497.55
T502718,C100041,22/06/1982,M,Bangalore,"22,606.16",2024-06-19,084823,"INR 1,111.28"
T504005,C100693,11/10/1988,f,Jaipur,"247,886.54",17-Sep-2024,155959,3960.54
T501845,C100240,24/12/2003,M,mumbai ,"58,083.30",2024-06-18,081153,"INR 2,248.41"
T505639,C100547,20-06-66,F,DELHI,"Rs. 49,530.12",2024-04-06,213545,4816.12
T504504,C100250,04/10/1964,Female,Ahmedabad,"12,840.30",19/07/2024,183054,1461.39
T500301,C100573,1976-01-19,male,Hyderabad,41943.84,2024-06-09,221040,2747.94
T503935,C100370,02-12-01,female,mumbai ,"Rs. 25,951.83",2024-08-21,160206,869.97
T500718,C100087,22/06/1996,Male,mumbai ,,23/04/2024,070916,1559.91
T504937,C100745,16/11/2002,Female,AHMEDABAD,53359.6,2024-06-19,204652,327.15
T504816,C100413,1975-06-17,Male,Chennai,,16/03/2024,205208,3181.19
T503294,C100384,1998-07-13,Female,KOLKATA,"Rs. 102,416.63",2024-01-13,043108,"INR 6,450.60"
T502284,C100151,1955-06-05,Male,Kolkata,"Rs. 83,391.84",15/07/2024,171711,15938.14
T505538,C100246,11/12/1992,Male,Delhi,459949.04,04-Mar-2024,163429,"INR -8,710.31"
T505345,C100258,26-05-00,Male,,"Rs. 16,944.13",20/11/2024,131928,4246.08
T504519,C100698,03/10/1986,M,mumbai ,"Rs. 186,379.37",16-Mar-2024,184713,4628.69
T505180,C100094,20/03/1981,f,Bangalore,50521.45,17/01/2024,090129,"INR 1,965.06"
T501949,C100664,09/01/1987,,Mumbai,99475.96,20/07/2024,204329,1072.91
T505633,C100051,21/02/1976,m,PUNE,"169,367.84",22/11/2024,165648,21285.3
T500135,C100691,13/08/1998,m,Pune,,02/08/2024,161938,6716.72
T503164,C100334,05/05/1992,,Kolkata,"Rs. 92,365.78",06/10/2024,073139,
T500773,C100431,15-04-62,male,  Surat,"10,914.09",08-Oct-2024,155420,1202.31
T503611,C100450,1992-01-17,F,DELHI,"111,417.27",2024-05-11,214100,6297.37
T505279,C100729,18-06-74,M,LUCKNOW,"264,299.97",05/08/2024,152047,9581.15
T504253,C100752,22-12-69,female,NAGPUR,"15,655.98",07/01/2024,182530,717.61
T502556,C100173,2003-09-18,Female,PUNE,"Rs. 28,296.42",03-Oct-2024,104333,2896.85
T505686,C100560,01-01-1900,female,Jaipur,25797.87,06-Jan-2024,123654,4859.78
T504001,C100414,2002-02-15,F,PUNE,"61,143.12",2024-06-05,203803,875.12
T500121,C100724,07-07-82,,Delhi,41634.26,12/02/2024,224856,2977.7
T502276,C100014,1995-01-22,M,LUCKNOW,72097.18,15/09/2024,140730,10666.24
T503288,C100000,18-10-59,Male,DELHI,"Rs. 17,012.07",2024-12-10,035951,1756.39
T500563,C100177,13-12-68,,AHMEDABAD,208320.55,20/03/2024,105109,7382.68
T501483,C100767,0000-00-00,F,,70068.58,30/04/2024,180135,3838.74
T502931,C100702,0000-00-00,Female,Mumbai,2914.57,01/01/2024,074749,3313.39
T501674,C100512,19/08/1986,m,,"Rs. 88,055.27",24/02/2024,165613,7527.96
T505920,C100343,11-02-92,female,mumbai ,"60,102.72",2024-06-20,224816,1633.86
T505585,C100429,17-05-92,F,Delhi,"40,293.13",21-Jul-2024,183339,5455.77
T502537,C100032,16/10/1977,female,Kolkata,"27,810.10",2024-04-13,212448,1404.29
T503959,C100555,27-03-93,female,Ahmedabad,"66,420.28",2024-10-22,134831,3915.73
T505590,C100775,25/07/1994,F,  Surat,45130.4,23-Oct-2024,153352,3847.68
T504620,C100291,1975-08-14,Female,Pune,,2024-11-17,143710,2687.99
T501390,C100426,20/12/2001,female,Kolkata,64167.81,29-Jul-2024,120123,1928.92
T504543,C100733,2001-05-03,f,BANGALORE,"Rs. 244,077.09",2024-06-25,222625,743.53
T500797,C100716,11-02-72,F,,"Rs. 240,805.50",24/02/2024,130350,17765.96
T504670,C100100,05-03-84,female,Bengaluru,21883.94,26-Jul-2024,165408,INR 277.59
T501673,C100058,26-02-76,m,  Surat,,27-Sep-2024,172356,161.63
T500276,C100408,1983-01-10,m,Mumbai,30500.46,28/09/2024,025252,1246.39
T500979,C100013,1995-03-19,,MUMBAI,"Rs. 11,833.88",22/02/2024,151133,458.14
T505839,C100541,13-01-74,male,Ahmedabad,"186,265.55",19/10/2024,234744,1462.72
T505569,C100346,22/08/1993,M,PUNE,"134,207.78",2024-10-11,165819,16854.22
T504096,C100012,12/10/1993,F,,"Rs. 50,102.02",23/10/2024,192046,941.42
T502750,C100350,06/05/1984,Male,Bengaluru,,06-Jan-2024,180523,6776.42
T503181,C100300,1990-09-07,Male,Chennai,,27/01/2024,170500,2962.29
T505319,C100412,1985-02-10,,MUMBAI,"Rs. 21,748.09",2024-05-05,160044,INR 133.90
T504337,C100219,21/11/1997,female,Bengaluru,20875.12,31/07/2024,183344,2778.84
T501930,C100720,25-12-56,Male,LUCKNOW,"53,994.49",2024-02-13,110045,4244.09
T500059,C100741,24/04/1966,m,Kolkata,32097.85,03/11/2024,053016,5424.53
T500933,C100121,,,DELHI,,2024-08-10,200613,3128.56
T502373,C100769,1990-04-07,Female,CHENNAI,"Rs. 29,909.50",2024-08-30,105252,285.61
T504473,C100246,11/12/1992,Male,Delhi,459949.04,2024-09-13,115434,760.55
T502498,C100343,11-02-92,female,mumbai ,"60,102.72",26-Mar-2024,082450,1032.54
T502968,C100350,06/05/1984,Male,Bengaluru,,03-Mar-2024,090114,8941.93
T500194,C100054,01-04-73,f,AHMEDABAD,"Rs. 2,705.17",2024-08-11,041513,816.75
T504569,C100477,08/08/1992,M,Ahmedabad,"Rs. 72,921.71",13/05/2024,025036,5997.62
T501463,C100504,1999-12-20,M,Jaipur,97634.59,2024-10-24,060939,4645.16
T501542,C100279,1957-08-17,Male,Jaipur,"45,765.21",29-Jul-2024,085107,2987.12
